lengua y traducctor,id_título,título,anio primer edición,editorial1b 1,editorial1b 2,editorial1b 3,editorial1b 4,editorial1b 5,editorial1b 6,editorial2b,ciudad_ed,país_ed,lengua o idioma,género,género2
Traducción al italiano de: Elisa Tramontin .,205999,Carte false,2013,La Nuova Frontiera,,,,,,Collana Liberamente,Roma,Italia,Italiano,Ensayo,
Traducción al italiano de: Elisa Tramontin .,206000,Volti nella folla,2012,La Nuova Frontiera,,,,,,Collana Liberamente,Roma,Italia,Italiano,Narrativa,Cuento
Traducción al italiano de: Ettore De Zuani.,206001,Il deserto di calce,1947,Longanesi,,,,,,La gaja scienza,Milano,Italia,Italiano,Narrativa,Novela
Edición de: Rosa Maria Grillo. Traducción al italiano de: Rosa Maria Rubino.,206002,La notte di San Bernabè,2005,Oèdipus,,,,,,A Sud del Río Grande,Salerno,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Sandro Ossola.,206007,Strappami la vita,1988,Feltrinelli,,,,,,Collana I Narratori,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Rosa Rita D'Acquarica .,206008,Il cielo dei leoni,2004,Giunti,,,,,,Astrea,Florencia,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Antonella Donazzan .,206009,Il mondo illuminato,2001,Feltrinelli,,,,,,Universale Economica; 1601,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Silvia Meucci.,206010,Male d'amore,1996,Feltrinelli,,,,,,Collana I Narratori,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Gina Maneri.,206011,Mariti,2008,Giunti,,,,,,Collana Giunti Blu,Florencia,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Gina Maneri.,206012,Donne dagli occhi grandi,1992,Zanzibar,,,,,,Zanzibar,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Gina Maneri.,206015,Puerto libre. Un rifugio per il caso e la memoria,1995,Zanzibar,,,,,,Zanzibar,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Eleonora Mogavero.,206016,L'emozione delle cose,2013,Giunti,,,,,,Collana A,Florencia,Italia,Italiano,Ensayo,
Prólogo de: Alfonso Reyes. Traducción al italiano de: Guido Valeriano Callegari.,206017,La terra del fagiano e del cervo: Leggende del Mayabantico,1953,Maccari,,,,,,Collana America Latina,Milano,Italia,Italiano,Narrativa,Cuento
,206018,Il cartello del Pacifico,2012,La Nuova Frontiera,,,,,,Collana Liberamente,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Pino Cacucci.. Traducción al italiano de: Pino Cacucci..,206019,Proiettili d'argento,2010,La Nuova Frontiera,,,,,,Collana Liberamente,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Natalia Cancellieri.,206020,Cielo arido,2013,La Nuova Frontiera,,,,,,Collana Liberamente,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Chiara Muzzi.,206021,Morire di memoria,2011,La Nuova Frontiera,,,,,,Collana Liberamente,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Simona Geroldi.,206027,Chiapas: la rivoluzione indigena,1999,Tropea,,,,,,Le querce,Milano,Italia,Italiano,Ensayo,
Traducción al italiano de: Silvia Sichel.,206029,Guerra nel Paradiso,2000,Tropea,,,,,,Le gaggie,Milano,Italia,Italiano,Ensayo,
Traducción y notas de: Roberto Bugliani.,206030,La danza del serpente,2003,Manni,,,,,,Plurale,Lecce,Italia,Italiano,Narrativa,Novela
Presentación de: Tito Maniacco. Traducción al italiano de: Stefano Strazzabosco.,206031,In un altro tempo io ero qui: poesie,2006,Circolo Culturale Menocchio,,,,,,,Montereale Valcellina,Italia,Italiano,Poesía,
Traducción al italiano de: Barbara Bertoni.,206032,Cuando le pantere non erano nere,2001,Salani,,,,,,,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Stefano Strazzabosco.,206034,Poesie,2005,Auieo,,,,,,,Trento,Italia,Italiano,Poesía,
Traducción al italiano de: Luigi La Tessa. Traducción al italiano de: Ettore De Zuani.,206035,Andiamo con Pancho Villa,1944,Alpe-Caregaro,,,,,,Scrittori di ogni tempo e paese,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Caterina Camastra.,206036,La lingua del paradiso,2011,Bibliofabbrica,,,,,,Croce del Sud,Gussago,Italia,Italiano,Narrativa,Cuento
Traducción al italiano de: Elvira Rezzo.,206037,La vita completa,1925,Carabba,,,,,,Scrittori italiani e estranieri,Lanciano,Italia,Italiano,Narrativa,Cuento
Traducción al italiano de: Enrico Pappacena.,206045,Poesie,1927,I nostri quaderni,,,,,,,Lanciano,Italia,Italiano,Poesía,
Traducción al italiano de: Mario Puccini.,206047,L'angelo caduto e altre leggende sud americane,1955,Marzocco-Bemporad,,,,,,,Florencia,Italia,Italiano,Narrativa,Cuento
Traducción al italiano de: Federica Niola.,206048,Il corpo in cui sono nata,2014,Einaudi,,,,,,I coralli,Torino,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Silvia Sichel.,206049,Risorse umane,2008,Neri Pozza,,,,,,Bloom; 19,Vicenza,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Francesca Bianchi.,206050,Un cowboy attraversa la frontiera in silenzio,2014,La Nuova Frontiera,,,,,,Cronache di Frontiera,Roma,Italia,Italiano,Ensayo,
Traducción al italiano de: Francesca Bianchi.,206051,Z: la guerra dei Narcos,2013,La Nuova Frontiera,,,,,,Cronache di Frontiera,Roma,Italia,Italiano,Ensayo,
Traducción al italiano de: Stefano Belardinelli. Ensayo crítico de: Mario Bendetti.,206052,Gli occhi dei pesci. Poesie 1958-2000,2006,Medusa,,,,,,Rhytmos; 7,Milano,Italia,Italiano,Poesía,
Traducción al italiano de: Lia Ogno.,206053,Il principio del piacere,1995,Giunti,,,,,,Narratori Giunti,Florencia,Italia,Italiano,Narrativa,Cuento
Traducción al italiano de: Paola Argento. Traducción al italiano de: Pino Cacucci.. Ensayo crítico de: Fabio Rodríguez Amaya.,206054,Le battaglie nel deserto,1993,Giunti,,,,,,Narratori Giunti,Florencia,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Raul Schenardi.,206055,Il vento distante,2014,Sur,,,,,,Collezione Sur,Roma,Italia,Italiano,Narrativa,Cuento
Traducción al italiano de: Gina Maneri.,206056,L'ombre dell'eroe,2007,Giunti,,,,,,Collana Giunti Blu,Florencia,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Camilla Cattarulla.,206057,Ombre senza nome,2005,Fanucci,,,,,,Collana Narrativa; 0,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Gina Maneri.,206069,Il nono cerchio,2009,Giunti,,,,,,Collana Narrativa,Florencia,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Anita Taroni .,206071,Il denaro del diavolo,2010,Baldini; Castoldi Dalai,,,,,,Romanzi e Racconti,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Angela Masotti.,206073,Nostalgia dell'ombra,2012,La linea,,,,,,Collezione Tam tam,Bologna,Italia,Italiano,Narrativa,Cuento
Traducción al italiano de: Franco Mogni. Traducción al italiano de: Franco Mogni.,206074,Vento Cardinale e altre poesie,1984,Mondadori,,,,,,Lo specchio. I poeti del nostro tempo; 0,Milano,Italia,Italiano,Poesía,
Edición e introducción de: Dario Puccini.,206076,Le opere,1995,UTET,,,,,,Scrittori del mondo. I Nobel,Torino,Italia,Italiano,Poesía,
Traducción al italiano de: Michela Finassi Parolo.,206077,"Passione e lettura. Sul riso, il linguaggio e l'erotismo",1990,Garzanti,,,,,,I coriandoli,Milano,Italia,Italiano,Ensayo,
Traducción al italiano de: Gianni Guadalupi. Ensayo crítico de: Luis González Gonzaléz.,206078,Hermenegildo Bustos,1995,Franco Maria Ricci,,,,,,Collana I segni dell'uomo,Parma,Italia,Italiano,Ensayo,
Traducción al italiano de: Franco Mogni.,206081,Venti Poesie,1999,Mondadori,,,,,,I Miti Poesia,Milano,Italia,Italiano,Poesía,
Traducción al italiano de: Manuela Palermi . Traducción al italiano de: Annamaria Pontoglio.,206083,Alla ricerca del presente. Scritti e interviste,2006,Datanews,,,,,,Alhambra,Roma,Italia,Italiano,Ensayo,
Traducción al italiano de: Elena Carpi Schirone.,206085,Apparenza nuda. L'opera di Marcel Duchamp,1990,SE,,,,,,Saggi e documenti del novecento,Milano,Italia,Italiano,Ensayo,
Traducción al italiano de: Giovanni Battista De Cesare.,206095,Congiunzioni e disgiunzioni,1973,Munt Press,,,,,,,Samedan,Suiza,Italiano,Ensayo,
Traducción al italiano de: Ernesto Franco.,206096,L'arco e la lira,1991,Il Melangolo,,,,,,Itinera,Genova,Italia,Italiano,Ensayo,
Traducción al italiano de: Ernesto Franco. Ensayo crítico de: Antonio Tabucchi.,206097,Ignoto a se stesso. Saggi su Pessoa e Cernuda,1988,Il Melangolo,,,,,,Opuscula,Genova,Italia,Italiano,Ensayo,
Traducción al italiano de: Ernesto Franco.,206098,Il fuoco di ogni giorno,1992,Garzanti,,,,,,Collezione di Poesia,Milano,Italia,Italiano,Poesía,
Traducción al italiano de: Giuseppe Bellini. Traducción al italiano de: Alfonso D Agostino.,206099,Il labirinto della solitudine,1961,Silva,,,,,,Collana Latinoamericana,Milano,Italia,Italiano,Ensayo,
Traducción al italiano de: Mariapía Lamberti.,206100,La duplice fiamma: amore ed erotismo,1994,Garzanti,,,,,,Collana Saggi Blu,Milano,Italia,Italiano,Ensayo,
Traducción al italiano de: Giuseppe Bellini.,206101,Libertà sulla parola,1965,Guanda,,,,,,Collana La Fenice,Parma,Italia,Italiano,Poesía,
Traducción al italiano de: Rosario Trovato.,206114,Pietra del sole,2006,Armando Siciliano,,,,,,,Mesina,Italia,Italiano,Poesía,
Introducción de: Dario Puccini. Traducción al italiano de: Glauco Felici.,206117,Suor Juana o le insidie della fede,1991,Garzanti,,,,,,Collana Saggi Blu,Milano,Italia,Italiano,Ensayo,
Traducción al italiano de: Claudia Marseguerra.,206120,Chuang-tzu: la vita dell'uomo che diventò perfetto,2000,Mondadori,,,,,,Collana Oscar Piccola Biblioteca,Milano,Italia,Italiano,Ensayo,
Traducción al italiano de: Ilide Carmignani.,206121,In India,2001,Guanda,,,,,,Collana Biblioteca La Fenice,Parma,Italia,Italiano,Ensayo,
Traducción al italiano de: Maria Nicola.,206126,Anch'io sono scrittura. L'autobiografia,2014,Sur,,,,,,Collezione Sur,Roma,Italia,Italiano,Obras biográficas,"Biografías, autobiografías y memorias"
Traducción al italiano de: Stefano Strazzabosco.,206127,Aquila o sole?,2003,Auieo,,,,,,,Trento,Italia,Italiano,Poesía,
Traducción al italiano de: Francesca Lazzarato. Prefacio de: Antonio Tabucchi.,206128,La divina,2014,Sur,,,,,,Collezione Sur,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Lia Ogno. Notas introductorias de: Antonio Melis.,206129,La vita coniugale,1994,Sellerio Editore,,,,,,La memoria,Palermo,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Ernesto Franco. Traducción al italiano de: Simona Falzi.,206130,Valzer di Mefisto,1991,Sellerio Editore,,,,,,La memoria ; 244,Palermo,Italia,Italiano,Narrativa,Novela
Epílogo de: Fabio Rodríguez Amaya. Traducción al italiano de: Gabriella Bonetta.,206131,Fino al giorno del giudizio,1993,Giunti,,,,,,Narratori Giunti,Florencia,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Tiziana Masucci.,206132,Lilus kikus,2009,La Lepre,,,,,,Collana Ta Wil,Roma,Italia,Italiano,Narrativa,Novela
Epílogo y posfacio de: Fabio Rodríguez Amaya. Traducción al italiano de: Simona Zatta.,206133,"Caro Diego, ti abbraccia Quiela",1993,Giunti,,,,,,Collana Dorian Grey,Florencia,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Francesco Saba Sardi.,206134,Tinissima,1997,Frassinelli,,,,,,Collana Noche Oscura,Milano,Italia,Italiano,Narrativa,Novela
Epílogo y posfacio de: Stefano Tedeschi. Traducción al italiano de: Giulia Pinchetti.,206136,Nella zona proibita,2012,Arcoiris,,,,,,Collana Gli eccentrici,Salerno,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Enzo Giachino.,206137,Il coltello di pietra,1948,Mondadori,,,,,,I libri del pavone / Einaudi,Torino,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Leonardo Cammarano.,206138,Goethe,1961,Garzanti,,,,,,Collana Sapere Tutto,Milano,Italia,Italiano,Ensayo,
,206139,Origini messicane: visione di Anahuac e altri saggi,1960,De Luca,,,,,,Quaderni di pensiero e di poesia,Roma,Italia,Italiano,Ensayo,
Traducción al italiano de: Raul Schenardi.,206144,Il segreto,2010,Voland Edizioni,,,,,,Collana Amazzoni,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Raul Schenardi.,206145,Nessuno mi vedrà piangere,2008,Voland Edizioni,,,,,,Collana Amazzoni,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Raul Schenardi.,206146,L'inferno di Ciudad Juarez,2006,Baldini; Castoldi Dalai,,,,,,Collana Saggi,Milano,Italia,Italiano,Narrativa,Crónica
Traducción al italiano de: Martha L. Canfield.,206147,Regioni da leggenda,2003,Le lettere,,,,,,Collana Pan Narrativa,Florencia,Italia,Italiano,Narrativa,Cuento
Traducción al italiano de: Dario Puccini.,206149,Il gallo d'oro,1982,Editori Riuniti,,,,,,Collana I David,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Giuseppe Cintioli. Prefacio de: Ernesto Franco.,206151,La morte al Messico,1963,Mondadori,,,,,,Collana Medusa; 473,Milano,Italia,Italiano,Narrativa,Cuento
Traducción al italiano de: Emilia Mancuso. Traducción al italiano de: Francisca Perujo.,206168,Pedro Páramo,1960,Feltrinelli,,,,,,Le Comete,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Marco Perilli.,206171,I demoni della lingua,2002,Auieo,,,,,,,Trento,Italia,Italiano,Poesía,
Traducción al italiano de: Caterina Camastra.,206172,Tra le labbra dell'acqua,2009,Bibliofabbrica,,,,,,Croce del Sud,Gussago,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Caterina Camastra.,206173,I giardini segreti di Mogador: voci di terra,2011,Poiesis,,,,,,Collana Rive dei Narratori,Alberobello (BA),Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Carlo Alberto Montalto.,206204,Quasi mai,2008,Del Vecchio,,,,,,Collana Formelunghe,Bracciano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Enrico Cicogna.,206206,Gazapo e Autobiografia,1969,Il Saggiatore,,,,,,Collezione Gutemberg &amp; Company,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Pino Cacucci..,206208,Le arance amare di Siviglia,2003,Guanda,,,,,,Collana La frontiera scomparsa,Parma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Ilide Carmignani.,206211,I convitati del vulcano,1997,Guanda,,,,,,La frontiera scomparsa / TEA Libri,Parma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Raul Schenardi.,206212,Amori di seconda mano,2010,Voland Edizioni,,,,,,Collana Intrecci,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Raul Schenardi.,206214,Angeli dall'abisso,2005,E,O,,,,,Collana Dal mondo,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Raul Schenardi.,206215,La paura degli animali,2006,Voland Edizioni,,,,,,Collana Intrecci,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Raul Schenardi.,206216,L'orgasmografo,2010,Voland Edizioni,,,,,,Collana Intrecci,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Raul Schenardi.,206218,Miss Messico,2007,Voland Edizioni,,,,,,Collana Intrecci,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Natalia Cancellieri.,206219,Prime notizie su Noela Duarte,2010,Voland Edizioni,,,,,,Collana Intrecci,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Giuliana Carrero. Traducción al italiano de: Eleonora Mogavero. Traducción al italiano de: Eleonora Mogavero.,206220,I minuti neri,2011,Il Saggiatore,,,,,,Narrativa,Milano,Italia,Italiano,Narrativa,Novela
Traducción al inglés de: Ruth L.C. Simms.,206305,The Bow and the Lyre,1973,University of Texas Press,,,,,,,Austin,EUA,Inglés,Poesía,
Traducción al italiano de: Annamaria Pontoglio.,206328,Lo scrittore é un sovversivo,2006,Datanews,,,,,,Alhambra,Roma,Italia,Italiano,Ensayo,
Traducción al italiano de: Roberta Bovaia. Traducción al italiano de: Gloria Corica.,206333,Le avventure di Héctor Belascoarán,2009,Il Saggiatore,,,,,,Collana Tascabili,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Stefania Cherchi. Traducción al italiano de: Gloria Corica. Traducción al italiano de: Pino Cacucci..,206340,L'ultima avventura di Héctor Belascoarán,2010,Il Saggiatore,,,,,,Collana Tascabili,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Pino Cacucci.. Traducción al italiano de: Gloria Corica.,206345,A quattro mani,1995,Corbaccio,,,,,,Corvo Giallo,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Gloria Corica.,206346,Qualche nuvola,1992,Metrolibri,,,,,,Criminalia Tantum,Bologna,Italia,Italiano,Narrativa,Novela
,206348,Arcangeli,1998,Il Saggiatore,,,,,,Nuovi Saggi,Milano,Italia,Italiano,Ensayo,
Traducción al italiano de: Simona Geroldi. Traducción al italiano de: Silvia Sichel.,206349,Te li do io i tropici,2000,Tropea,,,,,,Le gaggie,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Roberta Bovaia.,206350,Il fantasma di Zapata,1998,Tropea,,,,,,I Mirti,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Glauco Felici.,206351,Rivoluzionario di passaggio,1996,Tropea,,,,,,I Mirti,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Roberta Bovaia.,206354,Giorni di battaglia,1998,Tropea,,,,,,I Mirti,Milano,Italia,Italiano,Narrativa,Novela
Traducción e introducción de: Pino Cacucci.. Traducción al italiano de: Gloria Corica.,206355,L'anno che non siamo stati da nessuna parte,1994,Ponte Alle Grazie,,,,,,Letture,Florencia,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Gina Maneri. Traducción al italiano de: Gino Ossola.,206356,Senza perdere la tenerezza: Vita e morte di Ernesto Che Guevara,1997,Il Saggiatore,,,,,,Nuovi Saggi,Milano,Italia,Italiano,Ensayo,
Traducción al italiano de: Pino Cacucci.. Traducción al italiano de: Gloria Corica.,206357,Eroi convocati: Manuale per la presa del potere,1989,Agalev,,,,,,Collana di Narrativa Latinoamericana,Bologna,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Pino Cacucci.. Traducción al italiano de: Gloria Corica.,206359,La bicicletta di Leonardo,1994,Corbaccio,,,,,,Corvo Giallo,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Bianca Lazzaro.,206367,La lontananza del tesoro,1995,Donzelli,,,,,,Collana Narrativa,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Bianca Lazzaro.,206369,Come la vita,1994,Donzelli,,,,,,Collana Narrativa,Roma,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Stefania Cherchi.,206372,Niente lieto fine,2001,Tropea,,,,,,I Mirti,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Pino Cacucci..,206375,Un rivoluzionario chiamato Pancho,2007,Tropea,,,,,,Saggi,Milano,Italia,Italiano,Obras biográficas,"Biografías, autobiografías y memorias"
Traducción al italiano de: Bruno Arpaia.,206377,Ma tu lo sai che è impossibile,1997,Tropea,,,,,,I Mirti,Milano,Italia,Italiano,Narrativa,Novela
Traducción al italiano de: Pino Cacucci.. Traducción al italiano de: Gloria Corica.,206380,"Stessa città, stessa pioggia",1994,Granata Press,,,,,,Collana Nervi,Bologna,Italia,Italiano,Narrativa,Novela
